ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
LOMAS DE LA ESTANCIA,SANTIAGO ACAHUALTEPEC 2DA AMPLIACION 2530,IZTAPALAPA,19.34049532,-99.00765833,3,PILARES
MOCTEZUMA,MOCTEZUMA 2DA SECCION,VENUSTIANO CARRANZA,19.428014,-99.1011053,5,PILARES
SAN JUAN DE ARAGÓN,SAN JUAN DE ARAGON I SECCION 2437,GUSTAVO A. MADERO,19.4572704,-99.0830396,5,PILARES
SAN MIGUEL TEOTONGO,SAN MIGUEL TEOTONGO,IZTAPALAPA,19.340483,-98.992478,3,PILARES
CIBERESCUELA CUAJIMALPA,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.3581345,-99.3012228,1,PILARES
COLOSIO,LUIS DONALDO COLOSIO,GUSTAVO A. MADERO,19.55981,-99.14716,5,PILARES
MERCADO SAN FELIPE DE JESUS,SAN FELIPE DE JESUS,GUSTAVO A. MADERO,19.4932951,-99.0782938,3,PILARES
MERCADO CUAUTEPEC,CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,19.5475346,-99.1431238,1,PILARES
DEPÓSITO RTP,REYNOSA TAMAULIPAS,AZCAPOTZALCO,19.497594,-99.187761,5,PILARES
LA CUESTA,EL MIRADOR,ÁLVARO OBREGÓN,19.345512,-99.225916,3,PILARES
SANTA LUCIA,COLINA DEL SUR 2140,ÁLVARO OBREGÓN,19.368568,-99.222861,1,PILARES
BARRIO NORTE II,BARRIO NORTE,ÁLVARO OBREGÓN,19.379565,-99.206473,3,PILARES
BELÉN DE LAS FLORES,BELEM DE LAS FLORES 2101,ÁLVARO OBREGÓN,19.397066,-99.217629,3,PILARES
SANTA FE,SANTA FE 2500,ÁLVARO OBREGÓN,19.3827278,-99.2404056,3,PILARES
ISIDRO FABELA,ISIDRO FABELA,ÁLVARO OBREGÓN,19.3859,-99.2088389,3,PILARES
LOMAS DE LA ERA,LOMAS DE LOS CEDROS,ÁLVARO OBREGÓN,19.3257083,-99.2593028,3,PILARES
ÁRBOL DEL CONOCIMIENTO,LA CAÑADA 2DA SECCION,ÁLVARO OBREGÓN,19.3842972,-99.2221,4,PILARES
PRESIDENTES,PRESIDENTES,ÁLVARO OBREGÓN,19.377159,-99.221317,5,PILARES
OLIVAR DEL CONDE,OLIVAR DEL CONDE 1RA SECCION 2354,ÁLVARO OBREGÓN,19.373917,-99.204622,4,PILARES
GOMEZ FARIAS,CARLOS ALBERTO MADRAZO,ÁLVARO OBREGÓN,19.380283,-99.24959,1,PILARES
CHAMONTOYA,LOMAS DE CHAMONTOYA,ÁLVARO OBREGÓN,19.318208,-99.267811,4,PILARES
LAS AGUILAS,OLIVAR DEL CONDE 1RA SECCION 2353,ÁLVARO OBREGÓN,19.37282,-99.213773,3,PILARES
EL CAPULÍN,EL CAPULIN 2174,ÁLVARO OBREGÓN,19.395614,-99.212233,2,PILARES
LA ARAÑA,PUNTA DE CEHUAYA,ÁLVARO OBREGÓN,19.36265,-99.240295,3,PILARES
