ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
MC11349,LOMAS DE CUILOTEPEC 2272,TLALPAN,19.2718,-99.233433,1,Mi_Barrio
MC3909,CENTRO,CUAUHTÉMOC,19.433272,-99.142814,1,Mi_Barrio
MC12425,TLALCOLIGIA,TLALPAN,19.277268,-99.172666,1,Mi_Barrio
MC11517,MIGUEL HIDALGO 2DA SECCION,TLALPAN,19.278665,-99.196977,1,Mi_Barrio
MC11791,SANTA URSULA XITLA,TLALPAN,19.272633,-99.180923,1,Mi_Barrio
MC11522,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.282964,-99.208469,1,Mi_Barrio
MC11516,MIGUEL HIDALGO 2DA SECCION,TLALPAN,19.28039,-99.193174,1,Mi_Barrio
MC11406,LOMAS DE PADIERNA 2277,TLALPAN,19.290457,-99.222462,1,Mi_Barrio
MC11381,LOMAS DE PADIERNA 2277,TLALPAN,19.29017,-99.224757,1,Mi_Barrio
MC11380,LOMAS DE PADIERNA 2277,TLALPAN,19.29084,-99.218983,1,Mi_Barrio
MC11357,LOMAS DE PADIERNA 2277,TLALPAN,19.290434,-99.222981,1,Mi_Barrio
MC11298,PARAJE 38,TLALPAN,19.262476,-99.207307,1,Mi_Barrio
MC9755,POLANCO IV SECCION,MIGUEL HIDALGO,19.429046,-99.193286,1,Mi_Barrio
MC4965,POLANCO IV SECCION,MIGUEL HIDALGO,19.433486,-99.191396,1,Mi_Barrio
MC4171,GUERRERO,CUAUHTÉMOC,19.445163,-99.147009,1,Mi_Barrio
MC3717,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,19.333745,-99.323073,1,Mi_Barrio
MC1065,LOMA DEL PADRE,CUAJIMALPA DE MORELOS,19.344921,-99.312466,1,Mi_Barrio
MC863,SAN ANGEL,ÁLVARO OBREGÓN,19.345953,-99.194332,1,Mi_Barrio
MC3597,XALPA,CUAJIMALPA DE MORELOS,19.311966,-99.330824,1,Mi_Barrio
MC3473,CRUZ BLANCA 2151,CUAJIMALPA DE MORELOS,19.311626,-99.330037,1,Mi_Barrio
MC157,CARLOS ALBERTO MADRAZO,ÁLVARO OBREGÓN,19.379548,-99.251606,1,Mi_Barrio
MC1081,SANTA FE 2500,ÁLVARO OBREGÓN,19.380091,-99.244176,1,Mi_Barrio
MC9552,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.415454,-99.2262,1,Mi_Barrio
MC70,CIUDAD DE LOS DEPORTES,BENITO JUÁREZ,19.382086,-99.180722,1,Mi_Barrio
MC1581,SAN MARTIN XOCHINAHUAC 2452,AZCAPOTZALCO,19.498065,-99.196047,1,Mi_Barrio
MC9208,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.314544,-99.233722,1,Mi_Barrio
MC9217,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.315218,-99.231385,1,Mi_Barrio
MC9212,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.314265,-99.237289,1,Mi_Barrio
MC8913,BARROS SIERRA,LA MAGDALENA CONTRERAS,19.317538,-99.246021,1,Mi_Barrio
MC8912,CUAUHTEMOC,LA MAGDALENA CONTRERAS,19.317265,-99.243618,1,Mi_Barrio
MC8923,CUAUHTEMOC,LA MAGDALENA CONTRERAS,19.317805,-99.242393,1,Mi_Barrio
MC8911,CUAUHTEMOC,LA MAGDALENA CONTRERAS,19.318768,-99.244677,1,Mi_Barrio
MC8919,CUAUHTEMOC,LA MAGDALENA CONTRERAS,19.318768,-99.244677,1,Mi_Barrio
MC9018,TIERRA UNIDA,LA MAGDALENA CONTRERAS,19.301535,-99.267901,1,Mi_Barrio
MC9153,EL OCOTAL,LA MAGDALENA CONTRERAS,19.298038,-99.26031,1,Mi_Barrio
MC9141,EL OCOTAL,LA MAGDALENA CONTRERAS,19.301252,-99.262244,1,Mi_Barrio
MC9139,EL OCOTAL,LA MAGDALENA CONTRERAS,19.300801,-99.26096,1,Mi_Barrio
MC9147,TIERRA UNIDA,LA MAGDALENA CONTRERAS,19.301535,-99.267901,1,Mi_Barrio
MC8987,EL ROSAL,LA MAGDALENA CONTRERAS,19.310085,-99.250493,1,Mi_Barrio
MC8979,EL ROSAL,LA MAGDALENA CONTRERAS,19.3092258,-99.25031,1,Mi_Barrio
MC3098,CENTRO,CUAUHTÉMOC,19.427298,-99.141873,1,Mi_Barrio
MC9085,LOMAS DE SAN BERNABE 2280,LA MAGDALENA CONTRERAS,19.307375,-99.269737,1,Mi_Barrio
MC9096,LOMAS DE SAN BERNABE 2280,LA MAGDALENA CONTRERAS,19.307992,-99.270293,1,Mi_Barrio
MC162,LOMAS DE LA ERA 2275,ÁLVARO OBREGÓN,19.313625,-99.268125,1,Mi_Barrio
MC160,LOMAS DE SAN BERNABE 2280,LA MAGDALENA CONTRERAS,19.312935,-99.267553,1,Mi_Barrio
MC8896,ATACAXCO,LA MAGDALENA CONTRERAS,19.314115,-99.25209,1,Mi_Barrio
MC8992,LAS CRUCES,LA MAGDALENA CONTRERAS,19.323937,-99.25389,1,Mi_Barrio
MC8918,LA MALINCHE,LA MAGDALENA CONTRERAS,19.322412,-99.243712,1,Mi_Barrio
MC8977,EL ERMITAÑO 2176,LA MAGDALENA CONTRERAS,19.300966,-99.266305,1,Mi_Barrio
MC8972,EL ERMITAÑO 2177,LA MAGDALENA CONTRERAS,19.301993,-99.266115,1,Mi_Barrio
MC8970,EL ERMITAÑO 2177,LA MAGDALENA CONTRERAS,19.30298,-99.266652,1,Mi_Barrio
MC8984,EL ROSAL,LA MAGDALENA CONTRERAS,19.311782,-99.249102,1,Mi_Barrio
MC8985,EL ROSAL,LA MAGDALENA CONTRERAS,19.311988,-99.249707,1,Mi_Barrio
MC9001,EL TANQUE,LA MAGDALENA CONTRERAS,19.325925,-99.253097,1,Mi_Barrio
MC8999,EL TANQUE,LA MAGDALENA CONTRERAS,19.323008,-99.248967,1,Mi_Barrio
MC8995,EL TANQUE,LA MAGDALENA CONTRERAS,19.325482,-99.249853,1,Mi_Barrio
MC9182,EL TANQUE,LA MAGDALENA CONTRERAS,19.326285,-99.246129,1,Mi_Barrio
MC9111,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.314692,-99.244665,1,Mi_Barrio
MC10984,TIERRA COLORADA,LA MAGDALENA CONTRERAS,19.273255,-99.244442,1,Mi_Barrio
MC9011,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.314165,-99.227105,1,Mi_Barrio
MC9009,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.314603,-99.222718,1,Mi_Barrio
MC9007,SANTA TERESA 2529,LA MAGDALENA CONTRERAS,19.311868,-99.22627,1,Mi_Barrio
MC9266,SANTA TERESA 2527,LA MAGDALENA CONTRERAS,19.311249,-99.227661,1,Mi_Barrio
MC9006,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.313263,-99.226218,1,Mi_Barrio
MC9008,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.31263,-99.22699,1,Mi_Barrio
MC9015,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.312162,-99.264409,1,Mi_Barrio
MC9013,HUAYATLA,LA MAGDALENA CONTRERAS,19.30717,-99.26239,1,Mi_Barrio
MC9083,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.30825,-99.264481,1,Mi_Barrio
MC9014,HUAYATLA,LA MAGDALENA CONTRERAS,19.308347,-99.260948,1,Mi_Barrio
MC9017,HUAYATLA,LA MAGDALENA CONTRERAS,19.309095,-99.261766,1,Mi_Barrio
MC9025,UNIDAD INDEPENDENCIA I.M.S.S. 2580,LA MAGDALENA CONTRERAS,19.335528,-99.211002,1,Mi_Barrio
MC9036,LA CARBONERA,LA MAGDALENA CONTRERAS,19.300808,-99.258105,1,Mi_Barrio
MC9031,LA CARBONERA,LA MAGDALENA CONTRERAS,19.301313,-99.255844,1,Mi_Barrio
MC8959,SAN NICOLAS TOTOLAPAN 2482,LA MAGDALENA CONTRERAS,19.291927,-99.242837,1,Mi_Barrio
MC9049,LA MAGDALENA,LA MAGDALENA CONTRERAS,19.30151,-99.247415,1,Mi_Barrio
MC11778,UNIDAD INDEPENDENCIA I.M.S.S. 2578,LA MAGDALENA CONTRERAS,19.332117,-99.212278,1,Mi_Barrio
MC9050,LA MAGDALENA,LA MAGDALENA CONTRERAS,19.303423,-99.242832,1,Mi_Barrio
MC9056,LA MALINCHE,LA MAGDALENA CONTRERAS,19.323538,-99.243793,1,Mi_Barrio
MC9058,LA MALINCHE,LA MAGDALENA CONTRERAS,19.32182,-99.241787,1,Mi_Barrio
MC9063,SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,19.32043,-99.23953,1,Mi_Barrio
MC9040,LA CONCEPCION,LA MAGDALENA CONTRERAS,19.303215,-99.233757,1,Mi_Barrio
MC9068,LAS CRUCES,LA MAGDALENA CONTRERAS,19.316921,-99.253654,1,Mi_Barrio
MC9072,LAS CRUCES,LA MAGDALENA CONTRERAS,19.317876,-99.255281,1,Mi_Barrio
MC9075,LAS CRUCES,LA MAGDALENA CONTRERAS,19.317722,-99.255371,1,Mi_Barrio
MC9067,LAS CRUCES,LA MAGDALENA CONTRERAS,19.318433,-99.252061,1,Mi_Barrio
MC9117,LAS CRUCES,LA MAGDALENA CONTRERAS,19.325292,-99.2562,1,Mi_Barrio
MC9053,LA MALINCHE,LA MAGDALENA CONTRERAS,19.321267,-99.240483,1,Mi_Barrio
MC9095,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.314272,-99.261142,1,Mi_Barrio
MC9105,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.312162,-99.264409,1,Mi_Barrio
MC9103,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.311698,-99.263122,1,Mi_Barrio
MC9100,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.311278,-99.264248,1,Mi_Barrio
MC9094,LAS CRUCES,LA MAGDALENA CONTRERAS,19.316921,-99.253654,1,Mi_Barrio
MC9093,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.313418,-99.262897,1,Mi_Barrio
MC158,LOMAS DE SAN BERNABE 2280,LA MAGDALENA CONTRERAS,19.312107,-99.266963,1,Mi_Barrio
MC9110,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.312868,-99.241072,1,Mi_Barrio
MC9112,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.318072,-99.239997,1,Mi_Barrio
MC9116,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.31747,-99.240713,1,Mi_Barrio
MC9262,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.313058,-99.242977,1,Mi_Barrio
MC9132,LOS PADRES,LA MAGDALENA CONTRERAS,19.319923,-99.246928,1,Mi_Barrio
MC9133,LOS PADRES,LA MAGDALENA CONTRERAS,19.322384,-99.246668,1,Mi_Barrio
MC9062,LA MALINCHE,LA MAGDALENA CONTRERAS,19.321337,-99.238763,1,Mi_Barrio
MC9195,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.315725,-99.260677,1,Mi_Barrio
MC8990,PALMAS,LA MAGDALENA CONTRERAS,19.312517,-99.251217,1,Mi_Barrio
MC9177,POTRERILLO 2388,LA MAGDALENA CONTRERAS,19.306143,-99.255002,1,Mi_Barrio
MC9203,POTRERILLO 2388,LA MAGDALENA CONTRERAS,19.307423,-99.252138,1,Mi_Barrio
MC9167,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.305097,-99.25612,1,Mi_Barrio
MC9166,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.304428,-99.250225,1,Mi_Barrio
MC9163,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.305162,-99.25613,1,Mi_Barrio
MC9168,PUEBLO NUEVO BAJO,LA MAGDALENA CONTRERAS,19.304058,-99.247057,1,Mi_Barrio
MC9145,EL OCOTAL,LA MAGDALENA CONTRERAS,19.298714,-99.263311,1,Mi_Barrio
MC9201,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.31424,-99.255564,1,Mi_Barrio
MC9198,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.312668,-99.257835,1,Mi_Barrio
MC9190,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.314725,-99.255471,1,Mi_Barrio
MC9099,LOMAS DE SAN BERNABE 2280,LA MAGDALENA CONTRERAS,19.305573,-99.269832,1,Mi_Barrio
MC8936,SAN NICOLAS TOTOLAPAN 2482,LA MAGDALENA CONTRERAS,19.293697,-99.244957,1,Mi_Barrio
MC8951,SAN NICOLAS TOTOLAPAN 2484,LA MAGDALENA CONTRERAS,19.28809,-99.245322,1,Mi_Barrio
MC8933,SAN NICOLAS TOTOLAPAN 2484,LA MAGDALENA CONTRERAS,19.28815,-99.243142,1,Mi_Barrio
MC8927,SAN NICOLAS TOTOLAPAN 2480,LA MAGDALENA CONTRERAS,19.294165,-99.246075,1,Mi_Barrio
MC9274,TIERRA COLORADA,LA MAGDALENA CONTRERAS,19.27076,-99.245008,1,Mi_Barrio
MC363,PRESIDENTES 2DA AMPL,ÁLVARO OBREGÓN,19.373698,-99.226895,1,Mi_Barrio
MC511,PRESIDENTES 2DA AMPL,ÁLVARO OBREGÓN,19.375555,-99.228162,1,Mi_Barrio
